Date,rstar,g,z,output gap,real rate gap,,,All results are output from the Stage 3 model.,,,,,,,,,,,,,,,Standard Errors,Date,y*,r*,g,,,rstar (smoothed),g (smoothed),z (smoothed),output gap (smoothed)
1975-01-01,2.97012544364421,2.79106501030394,0.00639299009811717,-0.495412266425546,-3.5412295725072,,,,,,,,,,,,,,,,,,,1975-01-01,1.81392791149104,1.15832139140757,0.394205789332896,,,2.85273049450739,3.19175802859007,-0.536483593404015,-2.16354405191555
1975-04-01,2.86402829706555,2.85632729024285,-0.169003845428414,-1.18507291801996,-2.87102964806836,,,,,,,,,,,,,,,,,,,1975-04-01,1.82093349429581,1.16149489602129,0.392213755942972,,,2.86995973253916,3.20868482015501,-0.537228312019696,-2.23998427901222
1975-07-01,2.97751843927277,2.99162475865208,-0.199181262567437,-0.872979801431825,-2.23853085091426,,,,,,,,,,,,,,,,,,,1975-07-01,1.80764441736438,1.16354532418183,0.390864777326852,,,2.87944229955761,3.21920117501504,-0.538912687396572,-1.65559580080196
1975-10-01,3.00679097977564,3.00226255816663,-0.181204622209934,-0.288161081359249,-3.30043551263068,,,,,,,,,,,,,,,,,,,1975-10-01,1.80199958464052,1.16538316413535,0.3898505152554,,,2.8875349381234,3.22947517108561,-0.541729639065879,-1.06432802627091
1976-01-01,3.17455217871806,3.19267395538977,-0.215634499215912,0.261539117458369,-3.6694518697552,,,,,,,,,,,,,,,,,,,1976-01-01,1.79466390372267,1.16571070999718,0.389280453158368,,,2.8854590946264,3.22989496696504,-0.544251248844624,-0.235797736408813
1976-04-01,2.90630353254229,3.08022463271639,-0.364477217634342,0.351168074986845,-2.08886441885793,,,,,,,,,,,,,,,,,,,1976-04-01,1.79571870034327,1.16784639255657,0.388462078148231,,,2.89399578049866,3.23816317427071,-0.544494277609612,-0.00351899372412845
1976-07-01,2.83408925884124,2.96888310489846,-0.318461891450348,0.725562565666905,-3.35867700833461,,,,,,,,,,,,,,,,,,,1976-07-01,1.80424201866587,1.17134086269904,0.387461593322382,,,2.91059960016591,3.25262945076747,-0.54325168133813,-0.00313192725616318
1976-10-01,2.80405600477492,2.92430920386862,-0.301163708744098,0.940090755169194,-3.5105218874794,,,,,,,,,,,,,,,,,,,1976-10-01,1.8140265373865,1.17545582843451,0.386556578422916,,,2.93072650130868,3.2701741838728,-0.541754906939499,0.0655887993796114
1977-01-01,2.86259132319094,2.9549880255692,-0.275205137618056,1.31075967389313,-4.10780807252022,,,,,,,,,,,,,,,,,,,1977-01-01,1.81378224955731,1.17919023650396,0.385974288360427,,,2.94856852322653,3.28666282222824,-0.541421582392858,0.440169359456036
1977-04-01,2.98542462394545,3.11004822457358,-0.317024735433106,1.71485475004545,-3.22265415052964,,,,,,,,,,,,,,,,,,,1977-04-01,1.8011345400785,1.18144454498448,0.385779665267165,,,2.95744193047637,3.29571612399769,-0.54216155360853,1.18004144124268
1977-07-01,3.10955461191847,3.19432973734479,-0.2823902818571,2.42820197190542,-3.08849821608734,,,,,,,,,,,,,,,,,,,1977-07-01,1.79935967807391,1.18327166803991,0.385838702166527,,,2.96303544112188,3.30009825418774,-0.541221270821182,1.76628621562998
1977-10-01,2.8035619517481,2.97701131976656,-0.357620260200963,2.42751734357932,-1.43419487081491,,,,,,,,,,,,,,,,,,,1977-10-01,1.81527349093573,1.18773784431213,0.38602554574149,,,2.98425717922384,3.31761811067575,-0.53860324387009,1.5963784685888
1978-01-01,2.71316761728564,2.90565087088902,-0.372239477474394,2.28636060276108,-1.43290427264153,,,,,,,,,,,,,,,,,,,1978-01-01,1.8378524227853,1.19215401127957,0.386465808151814,,,3.00672448735742,3.34031853216479,-0.540240704213014,1.65636572677033
1978-04-01,3.39290459274265,3.48165933208277,-0.304145356502947,2.95133991105376,-2.07492726764932,,,,,,,,,,,,,,,,,,,1978-04-01,1.80159176173532,1.19014209578559,0.38702989475316,,,2.99172676137283,3.33122104319702,-0.545578130921161,3.00952785287996
1978-07-01,3.30771400060034,3.39554468790872,-0.297893877349174,3.47633789634892,-0.969954708890606,,,,,,,,,,,,,,,,,,,1978-07-01,1.80403611410525,1.18883104964404,0.387735781826384,,,2.981258788249,3.32642264049843,-0.550950851247036,3.42830738696375
1978-10-01,3.41683139677939,3.46421361451216,-0.261693566789217,3.73714326871254,0.355248167178639,,,,,,,,,,,,,,,,,,,1978-10-01,1.81132867336325,1.1868506741765,0.388601609103445,,,2.96635306878178,3.31714068434637,-0.556000392309716,3.65204889468805
1979-01-01,3.12570983098063,3.37760626332561,-0.460849873276697,3.00475842521689,2.44560115841167,,,,,,,,,,,,,,,,,,,1979-01-01,1.80306018435859,1.18619987221323,0.389601669069532,,,2.95908660024362,3.31407492815475,-0.56001144361961,3.29567676570252
1979-04-01,3.27221299326266,3.28816323399411,-0.21937034613229,3.18020943934812,-0.156286084009466,,,,,,,,,,,,,,,,,,,1979-04-01,1.79772289884742,1.18597102511762,0.390677306233204,,,2.95440485129064,3.31366874117226,-0.564261877093443,2.74286419153646
1979-07-01,3.31194987924044,3.3750117013571,-0.27185475213953,2.6021740387738,1.67528836208578,,,,,,,,,,,,,,,,,,,1979-07-01,1.80098170776354,1.18507321789718,0.391879577559119,,,2.9449569794012,3.30880317451217,-0.568543177168133,2.39858161878101
1979-10-01,3.28110492568537,3.32434878416093,-0.248902559683569,2.28092414630703,4.35594438872646,,,,,,,,,,,,,,,,,,,1979-10-01,1.8029191740609,1.18488678934257,0.393233014396312,,,2.93913061355915,3.306272836886,-0.571682667672839,1.88359029223
1980-01-01,3.40390384083998,3.31424247758716,-0.115372117793617,2.09085414244385,4.75412223169372,,,,,,,,,,,,,,,,,,,1980-01-01,1.80613943955466,1.18542404622923,0.39472461693586,,,2.9360850748015,3.30283367827646,-0.571076286483664,1.08046487881143
1980-04-01,2.92636691369838,2.91429298886692,-0.168216938114581,0.837323417031712,3.17854975648417,,,,,,,,,,,,,,,,,,,1980-04-01,1.81239212537928,1.19011940709956,0.39613977592493,,,2.95962881788508,3.3220563617877,-0.567944425873689,-0.677176007475396
1980-07-01,2.9776087788323,2.96607386717393,-0.171959342048218,-0.246920898336953,-0.00730111436791026,,,,,,,,,,,,,,,,,,,1980-07-01,1.82143273542669,1.19398820420871,0.397549506118968,,,2.97836437734261,3.33940043122337,-0.567625915561658,-1.5564472550144
1980-10-01,3.40756255419538,3.252693126471,-0.0463563422686756,-0.145460757999444,5.6411946273594,,,,,,,,,,,,,,,,,,,1980-10-01,1.80296983798522,1.19457119307935,0.398996656552096,,,2.97624998122304,3.34041798313469,-0.570820813787636,-1.26441309203267
1981-01-01,3.63017486644822,3.48199481074789,-0.0672313156345141,-0.0750116957796081,6.70176339302944,,,,,,,,,,,,,,,,,,,1981-01-01,1.82092039527432,1.19327705912289,0.400538379650007,,,2.96085039014671,3.32864288227522,-0.573716844956847,-0.91784131561883
1981-04-01,3.25399342488222,3.25139426926094,-0.198546261405151,-0.942124929295346,9.6004575289437,,,,,,,,,,,,,,,,,,,1981-04-01,1.80446093296641,1.19408298449021,0.401906425874474,,,2.95985434724913,3.33026203093688,-0.576432204107533,-1.73072870678402
1981-07-01,3.51276948472659,3.50566441626279,-0.209770607805444,-1.71136078824236,9.33912621116209,,,,,,,,,,,,,,,,,,,1981-07-01,1.83264463169892,1.1928294891047,0.403073091159217,,,2.94443492211624,3.31765127988257,-0.578460722176178,-2.23947665499577
1981-10-01,3.21667048240878,3.29817120229654,-0.285539961816211,-2.9222110003775,4.77148140239522,,,,,,,,,,,,,,,,,,,1981-10-01,1.83319444930989,1.19410014591276,0.403903699105225,,,2.94524326997389,3.31652520993489,-0.576456640777186,-3.75660576359348
1982-01-01,2.80913986865339,3.05867183143992,-0.438754730046275,-4.56811213278945,6.74501007569778,,,,,,,,,,,,,,,,,,,1982-01-01,1.85605538686675,1.19789109957241,0.404362203215762,,,2.96321308805186,3.3300162430145,-0.572812469870552,-5.41050736444845
1982-04-01,2.88100899255451,3.17917172907138,-0.494840152506807,-5.52444868401562,7.21472459251067,,,,,,,,,,,,,,,,,,,1982-04-01,1.8760823588069,1.20110737260037,0.404690877828545,,,2.97610784955094,3.33784306265134,-0.568228729175394,-6.17515051422652
1982-07-01,2.852780408689,3.04160083983153,-0.376987112476739,-5.8548512460884,2.20001112175064,,,,,,,,,,,,,,,,,,,1982-07-01,1.90407838679064,1.20584659163887,0.404865028522046,,,2.99840607080445,3.35275481651645,-0.561764767857138,-7.10238938113355
